Wahab Chak	4	117	250374	847634	0
Wahabpur	33	31	270909	812857	0
Wahabpur Thera	33	724	286880	780801	0
Wahadabad	19	354	217022	795035	0
Wahalna	33	525	294283	776869	0
Wahangaon	20	110	204831	792349	0
Wahangaon Tola	20	110	204809	792102	0
Wahanun	12	267	315904	768551	0
Wahaokharun	13	412	339958	750345	0
Wahapur	13	76	340577	746601	0
Wahathor	13	76	339684	748094	0
Wahdan	13	146	338981	752727	0
Wahdanagar	33	561	253166	823521	0
Wahduddinpur	33	605	265765	820848	0
Wahegaon	20	53	197699	756795	0
Wahegaon Sal	20	54	201925	742686	0
Wahegaon Shreshti	20	53	194788	762497	0
Wahegaon Sopara	20	53	193772	761775	0
Waheng Khuman	21	486	246685	938649	0
Wahi	20	390	207721	796083	0
Wahibug	13	412	338948	748575	0
Wahid	27	284	315028	757703	0
Wahid	27	544	312783	758817	0
Wahid Bibipur	33	682	274065	787328	0
Wahid Chak	33	152	270785	825982	0
Wahid Patti	33	532	265389	825913	0
Wahidapur	33	488	275057	808958	0
Wahidbigha	4	112	247266	844539	0
Wahidnagar	33	269	273299	822372	0
Wahidpur	13	573	342255	747609	0
Wahidpur	33	548	270138	794115	0
Wahidpur	33	548	270031	797486	0
Wahidpur	33	389	273258	784193	0
Wahidpur	33	661	273503	795589	0
Wahidpur	33	698	258643	806436	0
Wahidpur	33	698	259959	807343	0
Wahidpur	4	581	254410	851402	0
Wahidpur	4	687	255391	853149	0
Wahidpur Khalsa	33	593	278474	786353	0
Wahidpur Muafi	33	593	278515	785040	0
Wahidpura	28	288	280712	752122	0
Wahipur	13	0	343849	743675	0
Wahipur	13	412	338299	749945	0
Wahiwar	19	497	247838	815086	0
Wahjajer	22	162	255315	921618	0
Wahjri	20	139	211772	791382	0
Wahke	27	545	310416	747014	0
Wahle	27	468	321248	753766	0
Wahni	20	390	214460	798598	0
Wahni	12	267	316766	768854	0
Wahoan Baihk	13	289	339743	744647	0
